year,country,ka_open,cblackmarketexchangerates,acreditmarketregulation,BankAssets_CBShare,FD,Portfolioequityassets,Currentaccountbalance,Capitalaccount,cbie_index,GDPconstant2015US
2003,Iceland,0.7008403,10.0,9.2634073,99.92,0.6079976,3183.054,-565.7084,-4.8075191,0.658,12670000000.0
2004,Iceland,0.7008403,10.0,10.0,99.99,0.6120502,5841.5793,-1401.7291,-5.7480761,0.658,13660000000.0
2005,Iceland,0.7008403,10.0,9.6666667,99.99,0.6137921,9339.4093,-2648.8425,-6.4438618,0.658,14500000000.0
2006,Iceland,0.7008403,10.0,9.6666667,99.98,0.6015036,13392.576,-3970.5271,-7.3150174,0.658,15410000000.0
2007,Iceland,0.7008403,10.0,9.6666667,99.88,0.6165953,20630.703,-2916.2544,-14.014754,0.658,16710000000.0
2008,Iceland,0.1629476,10.0,3.0,92.11,0.5595256,6706.2863,-4146.1778,-11.604804,0.658,17080000000.0
2009,Iceland,0.1629476,10.0,4.6666667,94.94,0.5489416,5893.0024,-1185.2335,-11.2489,0.676,15770000000.0
2010,Iceland,0.1629476,9.4790845,4.6666667,94.56,0.5131206,4935.4976,-844.99666,-11.313559,0.676,15330000000.0
2011,Iceland,0.1629476,10.0,6.6752638,93.32,0.5812256,4678.4125,-715.95528,-12.701937,0.676,15610000000.0
2012,Iceland,0.1629476,10.0,7.3992576,92.96,0.5449909,4983.5801,-518.60419,-9.9417426,0.676,15780000000.0
2013,Iceland,0.1629476,10.0,7.8886686,92.94,0.5545931,5904.6127,1009.682,-10.520301,0.676,16490000000.0
2014,Iceland,0.1629476,10.0,8.3333333,93.66,0.509524,6051.844,776.6088,-13.612681,0.6855,16770000000.0
2015,Iceland,0.1629476,10.0,8.3333333,95.93,0.5212808,6294.0196,985.80308,-11.205255,0.6855,17520000000.0
2016,Iceland,0.4465505,10.0,7.3333333,98.3,0.5338082,7759.883,1719.9526,-12.144454,0.6855,18620000000.0
2017,Iceland,0.7008403,10.0,7.3333333,97.79,0.5296003,10150.364,1052.6208,-13.221185,0.6855,19400000000.0
2018,Iceland,0.73075625,10.0,7.2355515,98.87,0.5106812000000001,11574.967499999999,1333.7159,-13.6325085,0.7072499999999999,20065000000.0
2019,Iceland,0.7606722,10.0,7.1377697,99.95,0.4917621,12999.571,1614.811,-14.043832,0.729,20730000000.0
2020,Iceland,0.8205042,10.0,5.6502134,99.76,0.4975919,16021.877,200.64808,-16.636527,0.6955,19290000000.0
2021,Iceland,0.8803361,10.0,4.9154264,99.4,0.4961019,19863.169,-758.25515,-18.853443,0.6955,20280000000.0
1980,Italy,0.0,10.0,5.0186854,84.22,0.1701927,2198.8178,-10568.983,164.58381,0.352,1230000000000.0
1981,Italy,0.0,10.0,5.1299967,82.98,0.2122358,2186.6667,-10374.489,150.24716,0.352,1240000000000.0
1982,Italy,0.4172374,10.0,5.241308,83.15,0.2132796,2317.5182,-7398.2977,228.36024,0.352,1246000000000.0
1983,Italy,0.4172374,10.0,5.3526193,84.16,0.2290182,2219.3432,647.02584,179.69138,0.352,1260000000000.0
1984,Italy,0.4172374,10.0,5.4639306,84.83,0.2969839,3152.5714,-3205.949,272.64737,0.352,1301000000000.0
1985,Italy,0.4172374,10.0,5.5752419,83.36,0.3946419,5165.922,-4088.2751,222.01382,0.352,1337000000000.0
1986,Italy,0.4172374,10.0,5.8465799,83.49,0.4216209,7941.066,2424.8816,-103.12789,0.352,1375000000000.0
1987,Italy,0.4172374,10.0,6.1179179,83.07,0.4022058,9051.1011,-2568.8557,320.8917,0.352,1419000000000.0
1988,Italy,0.4172374,10.0,6.3892559,84.22,0.3594096,8326.8876,-7150.418,739.93418,0.352,1479000000000.0
1989,Italy,0.4172374,10.0,6.6605939,85.76,0.3768629,17937.104,-12829.875,937.48648,0.352,1529000000000.0
1990,Italy,0.4770693,10.0,6.9319319,87.29,0.3537526,22560.989,-16437.768,807.92214,0.352,1559000000000.0
1991,Italy,0.5369012,10.0,6.9910424,89.07,0.355825,27023.706,-24301.56,715.24622,0.352,1583000000000.0
1992,Italy,0.5967332,10.0,7.0501528,88.92,0.3589295,22507.203,-29279.16,993.29653,0.4105,1596000000000.0
1993,Italy,0.9401681,10.0,7.1092632,88.73,0.392632,29894.302,7732.7028,1815.3465,0.4105,1583000000000.0
1994,Italy,1.0,10.0,7.1683737,87.84,0.4421742,33838.689,13199.669,1097.3121,0.4105,1617000000000.0
1995,Italy,1.0,10.0,7.2274841,87.88,0.4762809,41860.026,25096.132,1720.6345,0.4105,1664000000000.0
1996,Italy,1.0,10.0,7.4244267,89.89,0.4923955,50700.777,39973.599,112.63674,0.4105,1685000000000.0
1997,Italy,1.0,10.0,7.6213693,89.77,0.5593781,75233.5,32276.687,3435.9086,0.4105,1715000000000.0
1998,Italy,1.0,10.0,7.8183119,91.17,0.6071342,103667.6,20107.131,2420.5157,0.8955,1747000000000.0
1999,Italy,1.0,10.0,7.8413599000000005,91.97,0.6507498666666667,150282.4,14009.470266666667,1925.2158166666666,0.8955,1790666666666.6667
2000,Italy,1.0,10.0,7.8644079,92.77,0.6943655333333333,196897.2,7911.809533333333,1429.9159333333332,0.8955,1834333333333.3333
2001,Italy,1.0,10.0,7.8874559,93.57,0.7379812,243512.0,1814.1488,934.61605,0.8955,1878000000000.0
2002,Italy,1.0,10.0,8.9732325,95.67,0.7299041,252384.34,-6277.2109,-60.952364,0.8955,1883000000000.0
2003,Italy,1.0,10.0,8.8301918,95.22,0.7351488,337503.91,-12128.604,2743.5168,0.8955,1885000000000.0
2004,Italy,1.0,10.0,8.9357931,94.83,0.7366132,411978.04,-8978.9894,2250.3168,0.8955,1912000000000.0
2005,Italy,1.0,10.0,8.7585478,94.67,0.7405818,433434.76,-16714.795,1188.0485,0.8955,1928000000000.0
2006,Italy,1.0,10.0,8.6205444,94.97,0.7648385,560702.21,-28321.586,1908.9443,0.8955,1962000000000.0
2007,Italy,1.0,10.0,8.7825138,96.11,0.7734111,606318.24,-30129.936,2649.6103,0.8955,1992000000000.0
2008,Italy,1.0,10.0,8.6118507,96.46,0.7541829,330770.91,-66400.853,-376.38904,0.8955,1972000000000.0
2009,Italy,1.0,10.0,8.0699494,96.31,0.7823312,421376.94,-40410.771,1108.8418,0.8955,1868000000000.0
2010,Italy,1.0,10.0,9.2698963,96.53,0.7561026,488768.6,-70819.282,106.17028,0.8955,1900000000000.0
2011,Italy,1.0,10.0,9.3521254,95.98,0.7374564,450512.69,-64808.126,1102.3622,0.8955,1914000000000.0
2012,Italy,1.0,10.0,9.4301175,95.33,0.7587178,541104.41,-5129.3125,3604.2649,0.8955,1857000000000.0
2013,Italy,1.0,10.0,9.4330735,95.07,0.7402644,693046.02,24764.661,-803.75696,0.8955,1823000000000.0
2014,Italy,1.0,10.0,9.4483333,94.5,0.7647026,736554.4,40309.629,3486.8899,0.8955,1822000000000.0
2015,Italy,1.0,10.0,9.5356667,91.35,0.776869,763567.37,26369.229,6681.5587,0.8955,1837000000000.0
2016,Italy,1.0,10.0,9.5554655,86.84,0.7569482,798964.58,49686.018,-2920.3139,0.8955,1860000000000.0
2017,Italy,1.0,10.0,9.6016667,82.48,0.7945912,1039712.7,53102.123,1354.545,0.8955,1891000000000.0
2018,Italy,1.0,10.0,9.6016667,81.86,0.7704495,944479.59,53985.859,427.53741,0.8955,1909000000000.0
2019,Italy,1.0,10.0,9.7532351,80.55,0.7696811,1059669.5,65311.7,-1207.5746,0.8955,1918000000000.0
2020,Italy,1.0,10.0,9.5469914,75.51,0.7862716,1253717.0,75096.664,1249.0256,0.8955,1746000000000.0
2021,Italy,1.0,10.0,8.9526133,72.85,0.7669956,1355283.9,52543.138,3011.8409,0.8955,1891000000000.0
1980,Japan,0.8205042,10.0,7.8161495,97.61,0.5057625,1754.8814,-10750.0,0.0,0.3365,2258000000000.0
1981,Japan,0.8803361,10.0,7.8294962,97.19,0.5438108,1758.5567,4770.0,0.0,0.3365,2355000000000.0
1982,Japan,0.9401681,10.0,7.8428428,97.19,0.5140163,2048.7004,6850.0,0.0,0.3365,2432000000000.0
1983,Japan,1.0,10.0,7.8561895,97.45,0.5507944,3049.9103,20800.0,0.0,0.3365,2520000000000.0
1984,Japan,1.0,10.0,7.8695362,97.66,0.5698364,3106.7572,35000.0,0.0,0.3365,2631000000000.0
1985,Japan,1.0,10.0,7.8828829,98.09,0.6012846,5316.1808,51128.904,-417.1911,0.3365,2767000000000.0
1986,Japan,1.0,10.0,7.9002336,98.46,0.6755158,13474.526,85876.589,-487.35503,0.3365,2858000000000.0
1987,Japan,1.0,10.0,7.9175843,98.48,0.7231845,27571.512,84350.605,-770.32668,0.3365,2991000000000.0
1988,Japan,1.0,10.0,7.9349349,98.64,0.7143901,33933.489,79249.301,-1012.503,0.3365,3190000000000.0
1989,Japan,1.0,10.0,7.9522856,98.64,0.6959448,61569.49,63214.903,-1388.0437,0.3365,3347000000000.0
1990,Japan,1.0,10.0,7.9696363,97.97,0.664772,62962.969,44078.235,-1062.1238,0.3365,3510000000000.0
1991,Japan,1.0,10.0,7.9703036,98.61,0.6090403,79711.383,68203.46,-1202.0398,0.3365,3633000000000.0
1992,Japan,1.0,10.0,7.970971,98.35,0.5618208,76452.871,112573.79,-1298.7941,0.3365,3666000000000.0
1993,Japan,1.0,10.0,7.9716383,98.21,0.5776638,108620.4,131637.06,-1458.6415,0.3365,3649000000000.0
1994,Japan,1.0,10.0,7.9723056,98.22,0.580044,119049.76,130255.27,-1849.5488,0.3365,3689000000000.0
1995,Japan,0.9401681,10.0,7.972973,98.03,0.5720963,146260.82,111044.21,-2228.945,0.3365,3786000000000.0
1996,Japan,0.9401681,10.0,7.9153325,97.63,0.6152279,155093.27,65792.248,-3287.5677,0.3365,3904000000000.0
1997,Japan,0.9401681,10.0,7.8576921,97.13,0.6377102,158793.88,96813.949,-4049.3041,0.383,3943000000000.0
1998,Japan,0.9401681,10.0,7.8000517,94.47,0.6372618,209402.35,118749.18,-14454.2,0.3665,3892000000000.0
1999,Japan,0.9401681,10.0,7.7424112,94.9,0.6959001,285415.92,114603.96,-16467.438,0.3665,3880000000000.0
2000,Japan,1.0,10.0,7.6847708,95.7,0.7407663,262251.76,119660.32,-9258.6056,0.3665,3987000000000.0
2001,Japan,1.0,10.0,7.6684944,90.8,0.6980781,227351.39,87797.699,-2868.762,0.3665,4002000000000.0
2002,Japan,1.0,10.0,7.6180342,89.8,0.7134376,210818.27,112447.29,-3321.3535,0.3665,4004000000000.0
2003,Japan,1.0,10.0,7.4224291,89.06,0.7442299,274458.16,136216.14,-3997.5941,0.3665,4065000000000.0
2004,Japan,1.0,10.0,7.369658,88.77,0.7594503,364691.26,172058.72,-4787.1095,0.3665,4154000000000.0
2005,Japan,1.0,10.0,8.8137611,88.78,0.8099418,408574.78,170122.75,-4877.5812,0.3665,4229000000000.0
2006,Japan,1.0,10.0,9.2243646,90.76,0.831255,510419.42,174672.77,-4756.576,0.3665,4287000000000.0
2007,Japan,1.0,10.0,9.0400195,91.68,0.8420304,573469.44,211735.65,-4028.8322,0.3665,4351000000000.0
2008,Japan,1.0,10.0,8.9592017,92.69,0.8071735,394672.96,142115.94,-5468.482,0.3665,4297000000000.0
2009,Japan,1.0,10.0,8.2137554,92.15,0.8171632,594036.86,145677.71,-4990.5599,0.3665,4053000000000.0
2010,Japan,1.0,10.0,8.3757311,91.99,0.8229991,678481.66,220887.99,-4964.295,0.3665,4219000000000.0
2011,Japan,1.0,10.0,8.0994457,90.7,0.8106892,665849.05,129596.68,496.96618,0.3665,4220000000000.0
2012,Japan,1.0,10.0,8.1156752,88.9,0.8114372,687169.57,60117.0,-1017.1675,0.3665,4278000000000.0
2013,Japan,1.0,10.0,8.0503614,83.63,0.8405113,1198712.7,46378.536,-7681.2382,0.3665,4364000000000.0
2014,Japan,1.0,10.0,7.8546667,78.62,0.843376,1190117.9,36351.469,-1993.4555,0.3665,4377000000000.0
2015,Japan,1.0,10.0,8.644,73.53,0.8644207,1274802.7,136471.8,-2252.6712,0.3665,4445000000000.0
2016,Japan,1.0,10.0,8.6918932,68.71,0.8602422,1405904.0,197049.39,-6579.7282,0.3665,4478000000000.0
2017,Japan,1.0,10.0,8.6918932,67.63,0.8979679,1676049.6,203168.73,-2498.9933,0.3665,4553000000000.0
2018,Japan,1.0,10.0,8.6918932,66.05,0.8943413,1631753.2,177268.54,-1922.51,0.3665,4583000000000.0
2019,Japan,1.0,10.0,8.6918932,65.29,0.9084417,1904929.2,176610.0,-3808.661,0.3665,4564000000000.0
2020,Japan,1.0,10.0,8.0520078,64.88,0.9333178,2076556.3,150028.93,-1932.5222,0.3665,4375000000000.0
2021,Japan,1.0,10.0,8.0520078,65.57,0.8876455,2225639.8,197154.46,-3856.2645,0.3665,4487000000000.0
1988,Korea,0.4172374,9.0,8.2425759,94.97,0.5536005,88.204054,12757.7,0.0,0.532,341300000000.0
1989,Korea,0.4172374,9.4,8.2879546,96.0,0.5695053,138.32659,3766.4,0.0,0.532,365500000000.0
1990,Korea,0.4172374,9.8,8.3333333,97.26,0.5218108,129.19157,-2804.2,0.0,0.532,401600000000.0
1991,Korea,0.4172374,9.84,8.3333333,97.5,0.5430263,147.56813,-8033.5,0.0,0.532,444800000000.0
1992,Korea,0.4172374,9.88,8.3333333,97.88,0.5618389,135.17801,-2901.2,0.0,0.532,472400000000.0
1993,Korea,0.4172374,9.92,8.3333333,97.9,0.5941181,235.71494,1688.1,0.0,0.532,504900000000.0
1994,Korea,0.4172374,9.96,8.3333333,98.26,0.6016746,364.6,-4793.5,0.0,0.532,551700000000.0
1995,Korea,0.4172374,10.0,8.3333333,98.8,0.5820587,586.8,-10229.7,0.0,0.532,604700000000.0
1996,Korea,0.1629476,10.0,8.3333333,98.96,0.5933746,1240.2,-24461.1,0.0,0.532,652500000000.0
1997,Korea,0.1629476,10.0,8.3333333,97.44,0.5993192,975.9,-10811.5,0.0,0.532,692700000000.0
1998,Korea,0.1629476,10.0,8.3333333,95.81,0.6241444,793.2,40112.8,441.7,0.6795,657200000000.0
1999,Korea,0.1629476,10.0,8.3333333,97.89,0.6704725,1174.7,21784.6,56.2,0.6795,732600000000.0
2000,Korea,0.4172374,10.0,8.3333333,98.5,0.745477,1033.8,10180.8,38.4,0.6795,798900000000.0
2001,Korea,0.4172374,10.0,8.3333333,98.59,0.7875894,1155.6,2165.2,-64.1,0.6795,837700000000.0
2002,Korea,0.4172374,10.0,8.3333333,98.89,0.7995024,1793.7,4066.1,-9.4,0.6795,902400000000.0
2003,Korea,0.4172374,10.0,8.3333333,98.97,0.7797213,3415.8,11308.3,-47.9,0.6795,930800000000.0
2004,Korea,0.4172374,10.0,8.3333333,99.39,0.7940563,9009.0,29289.9,9.7,0.6795,979200000000.0
2005,Korea,0.4172374,10.0,9.3333333,99.11,0.7957162,13913.5,12208.6,-0.6,0.6795,1021000000000.0
2006,Korea,0.4172374,10.0,9.3333333,98.92,0.8089805,36818.7,2094.8,-69.0,0.6795,1075000000000.0
2007,Korea,0.4172374,10.0,9.3333333,98.75,0.8183626,104857.6,10472.5,5.7,0.6795,1138000000000.0
2008,Korea,0.4770693,10.0,9.3333333,98.84,0.7877496,47878.9,1753.0,26.4,0.6795,1172000000000.0
2009,Korea,0.5369012,10.0,9.3333333,98.77,0.8267599,72319.6,33087.6,-69.6,0.6795,1181000000000.0
