year,country,rpp_value,cgdp_value,cr_value,spr_value,rpp_value_trend,rpp_value_cycle,rpp_value_cycle_normalized,cgdp_value_trend,cgdp_value_cycle,cgdp_value_cycle_normalized,cr_value_trend,cr_value_cycle,cr_value_cycle_normalized,spr_value_trend,spr_value_cycle,spr_value_cycle_normalized,pca_weighted_mean,turning_point,value
2017,Mexico,115.6889,41.4,186.11929,110.84858,118.82010925575169,-3.131209255751685,-0.8154147023544487,37.374243075403896,4.025756924596102,-1.9564799471811791,161.87655866776416,24.24273133223585,-3.2172623132283653,98.24826372668585,12.60031627331415,-0.5073608379964203,-1.0593194559350338,,0.0
2018,Mexico,120.655,40.7,186.88815,91.912027,121.24375200896618,-0.588752008966182,-0.15332001311311103,38.40003209011278,2.299967909887222,-1.1177627410542232,168.55928816571512,18.32886183428488,-2.4324303897805035,98.75581752503778,-6.8437905250377895,0.2755701698701769,-0.36208308957470486,,0.0
2019,Mexico,126.1846,40.1,184.70984,91.583331,123.6675373688566,2.5170626311434035,0.6554815435637783,39.42570958817637,0.6742904118236339,-0.32769878907724553,175.24146449626275,9.468375503737263,-1.256551799308295,99.26307750422095,-7.679746504220944,0.30923054131853006,0.4397039502653122,peak,0.4397039502653122
2020,Mexico,128.4474,42.8,182.93597,89.448211,126.0914253037224,2.3559746962775847,0.6135317855844217,40.45129602924558,2.348703970754414,-1.1414480075959506,181.92319479280522,1.0127752071947782,-0.1344057920382562,99.77013985289082,-10.32192885289082,0.4156199224644295,0.288330646942433,,0.0
2021,Mexico,130.3188,40.3,180.39814,98.156147,128.51538207451972,1.8034179254802893,0.46963756517549254,41.476813558697394,-1.176813558697397,0.5719203052462926,188.6046098596795,-8.206469859679487,1.0890838100030316,100.27708156033667,-2.1209345603366643,0.08540096236687142,0.49454198369943964,,0.0
2022,Mexico,133.2171,38.8,177.78712,91.860952,130.93937983214127,2.2777201678587176,0.5931531114727038,42.50229019366869,-3.702290193668695,1.7992781626488912,195.2858430331606,-17.498723033160616,2.322262346295473,100.78395381102557,-8.923001811025571,0.3592911144519046,0.8359058628773867,,0.0
2023,Mexico,140.4219,37.2,174.33769,91.860952,133.36339523602476,7.058504763975236,1.8381424207315142,43.527751009262474,-6.327751009262471,3.075227390093745,201.9670071333489,-27.629317133348877,3.6666974333522813,101.29080248708827,-9.429850487088274,0.3796997425725471,2.070695516496316,,0.0
1970,Netherlands,33.0844,78.2,10.2193,44.777804,29.300171049776843,3.7842289502231594,1.0,85.8294310637507,-7.629431063750701,1.0,-0.41379624856961444,10.633096248569615,1.0,20.54409443370763,24.233709566292372,1.0,1.0,,0.0
1971,Netherlands,33.7705,79.0,10.822034,40.459468,30.864037058973583,2.9064629410264153,0.7680462729019127,91.0970209969532,-12.097020996953205,1.5855731437733438,2.0164593821153325,8.805574617884668,0.8281289299031043,22.974996264533452,17.48447173546655,0.7214938219688163,0.985085926392829,trough,0.985085926392829
1972,Netherlands,35.8457,82.4,11.825846,52.301204,32.427912528742695,3.4177874712573058,0.9031661446001452,96.36459185657804,-13.96459185657804,1.8303582193601882,4.446741595540901,7.379104404459099,0.6939751349896556,25.40595867963319,26.895245320366808,1.1098278308070701,1.1330406057517528,,0.0
